id,pass,date,reviewer,surface,component,lifecycle_stage,category,severity,title,user_comment,orchestrator_take,observed,expected,evidence,value,effort,framework_anchor,kano,rice_score,moscow,downstream_target,linked_plan,linked_commit,status
UXL-001,1,2026-04-22,user,integration,plugin-schema,requirements,drift,MAJOR,CAB default setup should use project schema (not plugin schema) for local CC integration,"we need to ensure our latest CAB don't have a default protocol to setup/validate CC CLI integration into projects by automatically using the distributable plugin schema as default (vs. initially setting it up as a local project with CC CLI integrated where the extensions are nested under project '.claude' path), as I'm noticing a legitimate inefficient UX friction. In hindsight, my personal conjecture of trying to wrap everything into a plugin from getgo will be more holistically practical, but the issue is that I can't load the project CC extensions unless I actually fully register the plugin to marketplace and enable; which is not I want necessarily as enabling external plugins are automatically loaded globally. So instead, our CAB default setup (whether for a brand new project codebase or existing project) should use the claude project schema where all extensions are neatly nested under the project '.claude' path within the project root to live alongside the codebase, ultimately cohesively serving as agentic OS platform (codebase + LLM CLI).",Plugin-first default is premature optimization for new-project integration. LL-23 proved plugin extensions require global marketplace registration to activate — wrong default for fresh/existing codebase integration. Correct default: project schema (.claude/ nested); plugin migration as later explicit opt-in phase.,,,Session 22 LL-23; user session-34 brain-dump; init-plugin vs new-project divergence,H,M,DP5;LL-23;LL-21,,,,KB,,,triaged
UXL-002,1,2026-04-22,user,meta,conventions,requirements,drift,MAJOR,Command → skill migration audit (official CC deprecation of commands),"per latest official CC dev docs, commands will be gradually be sunset and skills to be used/trigerred instead. luckily, our CAB hirearchical wrapping design philosophy, we already were pretty much effectively leveraging the commands to be essentially equivalent to the domain specialized skill extensions but just serving as the easy trigger mechanism by both CC agents and humans, via the dash function for any consistently repeated operations, so let's make sure we archive and no longer further optimize the commands and properly migrate to skills, if there isn't already the main pertaining skill(s) that was composing exist. we need to be strategic and careful here as I'm currently used to triggerring the skill-wrapped commands, not the skills themselves. let's start with a clear mapping of which existing skills are wrapped into commands and which aren't/disconnected, etc.",Strategic migration needed — CAB historically used commands as trigger-shims for skills. Step 1: produce mapping of existing skills ↔ commands (wrapped vs disconnected). Step 2: migrate orphan commands to skills. Keep command shims alive until user trigger habit transitions.,,,User ref to official CC dev docs; CAB commands/ inventory,H,M,DP8;CC-skills-vs-commands,,,,KB,,,triaged
UXL-003,1,2026-04-22,user,meta,claudemd-layer,design,question,QUESTION,Re-evaluate CAB orchestrator subagent as global-default CC agent,"we need to revisit our recent discussion (in session 34 i believe) of the Three-layer complement model architecture design philosophy: ""global CLAUDEmd (global orchestrator as holistically efficient and generalized ""master strategist"" with universal or project-agnostic value-adds of memory, rules, skills, agents, hooks, which are technically and soundly domain-specialized of the intended global orchestrator via comprehensive, readily actionable context engineering protocols) → project CLAUDEmd (project orchestrator as holistically efficient and generalized ""master strategist"" with project-specific domain specialization/contextualization of CC extensions) → CAB's 'orchestrator' subagent being used as the ""main default global cc agent"" that I talk to per global cc settings JSON (please correct me if i'm misunderstanding here). Each layer is complementary, not redundant"". I'm quite set on how I currently define and utilize the global core identity/SME vs. project core identify/SME via CLAUDEmds, but i'm still tad confused whether me setting CAB's specific 'orchestrator' subagent as the default CC global agent is the appropriate/efficient choice; i'm slightly leaning towards getting rid of this global cc setting to let the global CLAUDEmd and each project CLAUDEmd to properly serve as orchestrators.",Three-layer model is sound (global CLAUDEmd → project CLAUDEmd → domain subagents). Questioning whether CAB orchestrator subagent should be the GLOBAL default. Leaning toward removing global-default binding; let CLAUDEmd layers drive orchestration natively. Needs cost-benefit analysis of removal.,,,Session 34 3-layer model discussion; ~/.claude/settings.json agent setting,M,L,DP2;DP4;LL-27,,,,followup,,,triaged
UXL-004,1,2026-04-22,user,agentic,subagent-delegation,design,gap,MAJOR,CAB advisor ↔ project-orchestrator agentic bridge architecture,"we need to further strategize how we can allow CAB orchestrator (or domain-specialized subagent as ""general CAB advisor"", which is fully equipped with the entire knowledge base via systematized context knowledge graph programmatically/visually) to agentically/seamlessly interact with each project domain orhcestrator(s) to ensure the CC integrated project has fully and systematically adopted CAB's various frameworks/design philosophies and context engineering protocols for holistically efficient orchestration and state management. basically, i've been finding myself in multiple occasions of active projects that have CC integrated where I would need to request the project orchestrator agent to refer back to some of the CAB KB packs as the existing agentic wrappers related to creating/integrating CC into new or existing projects, as well as validating/techdebt existing CC integration setup aren't fully capturing.","Capability gap: project orchestrators can't discover/invoke CAB KB packs agentically — forces manual re-prompting. Need bi-directional bridge: CAB advisor subagent (KB-equipped) that project orchestrators query, or MCP-exposed CAB KB endpoint. Cross-refs UXL-005 (knowledge graph) and UXL-009 (HydroCast patterns).",,,"User's cross-project UX friction (CAB↔HydroCast, CAB↔RAS-exec)",H,H,DP2;DP6;DP8,,,,skill,,,triaged
UXL-005,1,2026-04-22,user,meta,knowledge-base,design,gap,MAJOR,KB → knowledge-graph standardization (programmatic metadata for orchestration+state),"It's my general (assumed) understanding from my UX so far of trying to implement CAB to integrate CC CLI into project codebases, many of these, esp. the above item #4 imo,  could have been influenced by our lack of proper KB standardization to turn the static knowledge base into holistically standardized and efficiently generalized knowledge graph with readily actionable/programmable metadata details for orchestration and state management. some of these will be reflective when we review current standardized protocols of Hydrocast project's knowledge graph essentially programmatically linking the notes\ folder of state mangement and knowledge\ folder of customized domain knowledge base.","Root-cause framing for UXL-004/UXL-009/UXL-010: current KB is static markdown; graph-capable metadata (depends_on, related, source edges) exists in frontmatter but is not programmatically queryable. Needs: (a) graph extractor/indexer; (b) HydroCast-style programmatic notes↔knowledge linkage; (c) visualization surface. UXL-009 and UXL-010 seed this deep dive.",,,HydroCast kb-standardization-plan (external); user cross-project UX,H,H,DP1;DP3,,,,KB,,,triaged
UXL-006,1,2026-04-22,user,meta,conventions,requirements,gap,MINOR,plan-implementation skill enhancement — a-team + product-design-cycle integration,"i made some minor edits to the 'plan-implementation' skill that hasn't been properly recorded via git yet. Review yourself what i've changed/edited/added. I have additional plans to properly incorporate the generalized comprehensive ""a-team"" and full-stack product design cycle templates to be part of the standard protocol to refer as general conceptual context to strategize holistically and comprehensively, then obviously naturally, adaptively/agentically optimizing to be tailored specifically to the project-specific and/or phase task-specific intentions from the generic comprehensive version. It doesn't necessarily have to be done within this specific skill alone, but we need to strategically plan how we can properly/systematically leverage these resources more adapatively in knowledge\reference",User has uncommitted formatting/wording edits to SKILL.md (left staged by Phase 2 commit for separate attribution). Enhancement proposal: systematically reference knowledge/reference/a-team-database.yaml + product-design-cycle.md + requirements-doc-guide.md during plan authoring. May split across plan-implementation skill + new skill.,,,git diff skills/plan-implementation/SKILL.md (staged); knowledge/reference/INDEX.md,M,L,DP2;DP3,,,,skill,,,triaged
UXL-014,1,2026-04-22,orchestrator,meta,claudemd-layer,design,gap,MINOR,Global CLAUDE.md — add 'CAB provides' notes to orchestrator + verifier registry entries,"**LL-27 follow-on: Update global `~/.claude/CLAUDE.md` Extension Registry** — Add explicit ""CAB provides this — do not create a global copy"" notes to `orchestrator` and `verifier` entries. Prevents future recreation of the shadow copy from operator confusion (the exact pattern that caused this incident).","Superseded partially by UXL-025 (Global CLAUDE.md v2 — remove Extension Registry entirely). If v2 lands, this item may become moot or fold into the Plugin Hygiene Policy block.",,,notes/TODO.md:72; LL-27; ~/.claude/CLAUDE.md,M,L,DP3;LL-27,,,,followup,,,triaged
UXL-015,1,2026-04-22,orchestrator,meta,claudemd-layer,design,gap,MINOR,CAB CLAUDE.md — add 'CAB provides' notes to its own extension registry,"**LL-27 follow-on: Add ""CAB provides"" notes to CAB's own extension registry** — Mirror the above note inside CAB's CLAUDE.md so that operators reading CAB docs immediately know global copies are contraindicated.",Mirror of UXL-014 for CAB-internal CLAUDE.md. Similar supersession consideration under UXL-025.,,,notes/TODO.md:73; LL-27; CAB CLAUDE.md,L,L,DP3;LL-27,,,,followup,,,triaged
UXL-016,1,2026-04-22,orchestrator,agentic,context-handoff,design,idea,MAJOR,Event-triggered state-write protocol (LL-28 candidate),"**LL-28 follow-on: Design event-triggered state write protocol** — Complement LL-26's phase-triggered writes. Candidate trigger events: (a) new architectural insight, (b) HITL decision point (write pending question + options before asking user), (c) investigation finding contradicting/updating prior LL/DD, (d) discovery implying new LL entry. Implementation sketch: add ""dialogue checkpoint"" step to `execute-task` — append 5-10 line ""dialogue state"" block to `progress.md` after analytical turns >N tokens OR HITL questions. Cost ~200-400 tokens/checkpoint. **Not to be hard-coded** — tag as CANDIDATE until it survives at least one real dying-session recovery test (per Session 27 user directive on iterative optimization).",Strong candidate; pre-requisite per user directive: must survive one real dying-session recovery test before hard-coding. Implementation is a skills/execute-task extension.,,,notes/TODO.md:74; LL-28; Session 27 recovery,H,M,DP4;LL-28,,,,skill,,,triaged
UXL-017,1,2026-04-22,orchestrator,agentic,memory-layer,design,idea,MAJOR,Fallback dying-session recovery protocol (new skill OR filesystem-patterns subsection),"**LL-28 follow-on: Fallback recovery protocol for mid-dialogue death** — Codify the Session 27 recovery method as a reusable skill or playbook: (1) bootstrap from `notes/` first, (2) identify dying-session JSONL transcript, (3) extract last N turns, (4) synthesize coverage gap, (5) backfill discoveries into new LL entries + state files, (6) resume at the exact HITL question. Deliverable: either a new `skills/recover-from-dying-session/` skill or a new subsection in `filesystem-patterns.md`. Input to the design: Session 27 itself is a working example — use its transcript as validation dataset.",Codifies Session 27 recovery method. Natural deliverable: new skill `recover-from-dying-session`. Session 27 transcript serves as validation dataset.,,,notes/TODO.md:75; LL-28; Session 27 transcript,H,M,DP4;LL-28,,,,skill,,,triaged
